source,relationship,target
1580,SEE_ALSO,1591
566,ASSOCIATED_WITH,2914
1738,APPRENTICED_TO,2442
1738,CHILD_OF,1739
4664,APPRENTICED_TO,566
566,SUPPLIED_TO,9338
566,SUPPLIED_TO,4600
566,ASSOCIATED_WITH,1716
566,ASSOCIATED_WITH,1563
566,ASSOCIATED_WITH,4444
566,ASSOCIATED_WITH,2841
566,ASSOCIATED_WITH,2763
566,PARENT_OF,4664
566,SUCCEEDED__BY,4414
8386,SIBLING_OF,8473
544,APPRENTICED_TO,545
6169,SUCCEEDED__BY,6171
8473,SIBLING_OF,8386
6170,SEE_ALSO,8473
6171,SEE_ALSO,6170
6171,TOOK_OVER_FROM,6169
6170,SEE_ALSO,6171
6170,SAME_PREMISES_AS,8386
803,HAD_APPRENTICE,2520
803,HAD_APPRENTICE,1154
803,HAD_APPRENTICE,353
803,HAD_APPRENTICE,2722
803,SEE_ALSO,802
803,APPRENTICED_TO,645
803,HAD_APPRENTICE,2792
3429,APPRENTICED_TO,3467
3837,SAME_PREMISES_AS,4349
3837,SEE_ALSO,4349
6177,WORKED_FOR,6482
3348,APPRENTICED_TO,1608
1069,SEE_ALSO,182
4900,APPRENTICED_TO,2137
33,SUCCEEDED__BY,1699
32,SEE_ALSO,3393
1699,TOOK_OVER_FROM,33
4316,SEE_ALSO,1994
3943,SEE_ALSO,8592
8592,SEE_ALSO,3943
2521,HAD_APPRENTICE,2534
2521,APPRENTICED_TO,2502
1736,APPRENTICED_TO,1822
1736,SUCCEEDED__BY,1744
1736,TOOK_OVER_FROM,1741
1070,SEE_ALSO,4069
5592,SIBLING_OF,4409
34,SEE_ALSO,4245
4245,SEE_ALSO,4409
5592,APPRENTICED_TO,2914
4409,PARTNERSHIP,4245
4245,PARTNERSHIP,4409
4245,SEE_ALSO,34
5592,NEPHEW_NIECE_OF,4607
4409,APPRENTICED_TO,2266
4409,SIBLING_OF,5592
10331,AGENT_TO,6773
4246,TOOK_OVER_FROM,4245
146,APPRENTICED_TO,91
6179,SEE_ALSO,4676
6180,SEE_ALSO,6181
6179,SEE_ALSO,6180
6179,SEE_ALSO,4678
6179,SEE_ALSO,6181
6179,SEE_ALSO,6182
6180,SEE_ALSO,6179
6180,SEE_ALSO,4676
6180,SEE_ALSO,4678
6180,SEE_ALSO,6182
6181,SEE_ALSO,6179
6181,SEE_ALSO,4676
6181,SEE_ALSO,4678
6181,SEE_ALSO,6180
6181,SEE_ALSO,6182
4677,SEE_ALSO,5211
4678,SEE_ALSO,6179
4678,SEE_ALSO,4676
4678,SEE_ALSO,6181
6182,SEE_ALSO,6179
6182,SEE_ALSO,4678
6182,SEE_ALSO,4676
6182,SEE_ALSO,6181
4679,SEE_ALSO,4678
1996,SUCCEEDED__BY,5065
5065,TOOK_OVER_FROM,1996
2665,SEE_ALSO,2666
2665,TOOK_OVER_FROM,4066
4066,TOOK_OVER_FROM,2665
4065,SEE_ALSO,2665
2665,SEE_ALSO,4064
2665,SEE_ALSO,4065
2665,SUCCEEDED__BY,4066
4066,SUCCEEDED__BY,2665
4066,PARTNERSHIP,4065
4064,PARTNERSHIP,2665
4065,SEE_ALSO,4064
4065,SEE_ALSO,2666
4065,SEE_ALSO,4066
4064,SEE_ALSO,4066
4066,SEE_ALSO,2666
2666,SEE_ALSO,2665
2666,SEE_ALSO,4064
2666,SEE_ALSO,4066
2669,SEE_ALSO,2667
2668,SEE_ALSO,2669
