id,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
300,,,,,,,,,,,,Barometer,,
300,,,,,,,,,,,,Barometer,,
300,,,,,Clockmakers,,,,,,,,,
300,,,,,Joiners,,,,,,,,,
301,,,,,,,,,,,,Watch,,
301,,,,,,,,,,,,Balance,gold,
301,,,,,,,,,,,,Barometer,,
301,,,Engraver,,,,,,,,,,,
302,,,,,,,Mathematical,,,,,,,
302,,,,,Clockmakers,,,,,,,,,
305,,,,,,,Mathematical,,,,,,,
305,,,,,Clockmakers,,,,,,,,,
307,,,,,,,Mathematical,,,,,,,
307,,,,,Grocers,,,,,,,,,
308,,,,,,,,,,Globe,,,,
309,,,,,,,Mathematical,,,,,,,
309,,,,,Clockmakers,,,,,,,,,
311,,,,,,,Mathematical,,,,,,,
311,,,,,Pewterers,,,,,,,,,
311,,,Surveyor,land,,,,,,,,,,
312,,,,,,,Mathematical,,,,,,,
313,,,,,,,,,,,,Compass,,
313,,,,,,,,,,,,Flag,,
313,,,Ironmonger,iron,,,,,,,,,,
314,,,,,,,Optical,,,,,,,
314,,,,,Spectaclemakers,,,,,,,,,
315,,,,,,,Mathematical,,,,,,,
315,,,,,Grocers,,,,,,,,,
316,,,,,,,Mathematical,,,,,,,
316,,,,,,,Philosophical,,,,,,,
316,,,,,,,Optical,,,,,,,
316,,,,,Goldsmiths,,,,,,,,,
317,,,,,,,Mathematical,,,,,,,
317,,,Teacher ,,,,,,,,,,,
318,,,,,,,,,,,,Clock,,
318,,,,,Clockmakers,,,,,,,,,
319,,,,,,,Mathematical,,,,,,,
319,,,,,Joiners,,,,,,,,,
323,,,,,,,,,,,,Globe,,deduced trade
323,,,,,,,,,,,,Globe,,
324,,,,,,,,,,,,Scale,,
324,,,,,Blacksmiths,,,,,,,,,
325,,,,,,,,,,,,Rule,,
325,,,,,,,,,,,,Rule,,
325,,,,,,,Mathematical,,,,,,,
325,,,,,,,,,,,,,,
325,,,,,Stationers,,,,,,,,,
327,,,,,Joiners,,,,,,,,,
328,,,,,,,,,,,,Handle,Saw,
328,,,,,,,,,,,,Toy,steel,
328,,,,,,,,,,,,Paper case,,
328,,,,,,,,,,,,Rule,,
329,,,,,,,,,,,,Clock,,
329,,,,,Clockmakers,,,,,,,,,
331,,,,,,,,,,,,Machinery,waterworks,
331,,,,,,,,,,,,Machinery,waterworks,
331,,,,,,,Pneumatical,,,,,,,
331,,,,,,,Philosophical,,,,,,,
331,,,,,Joiners,,,,,,,,,
332,,,,,,,,,,,,Microscope,,
332,,,,,,,,,,,,Microscope,,
332,,,,,,,Optical,,,,,,,
332,,,,,,Philosophical,,,,,,,,
332,,,,,,,,,,,,,,
332,,,,,Spectaclemakers,,,,,,,,,
333,,,,,,,Mathematical,,,,,,,
334,,,,,,,,,,,,,,
334,,,,,Spectaclemakers,,,,,,,,,
335,,,,,,,,,,,,,,
335,,,,,Spectaclemakers,,,,,,,,,
337,,,,,,,Optical,,,,,,,
337,,,,,,,Mathematical,,,,,,,
337,,,,,Joiners,,,,,,,,,
338,,,,,,,Mathematical,,,,,,,
339,,,,,,,Optical,,,,,,,
339,,,,,,,Mathematical,,,,,,,
340,,,,,,,Mathematical,,,,,,,
340,,,,,,,Philosophical,,,,,,,
340,,,,,,,Optical,,,,,,,
340,,,,,,,,,,,,,,
341,,,,,,,Mathematical,,,,,,,
341,,,,,Clockmakers,,,,,,,,,
342,,,,,,,Mathematical,,,,,,,
342,,,,,,,,,,,,,,
342,,,,,Merchant Taylors,,,,,,,,,
343,,,,,Joiners,,,,,,,,,
344,,,,,,,,,,,,,,
344,,,,,Spectaclemakers,,,,,,,,,
345,,,,,,,Mathematical,,,,,,,
