source,target,relationship
1047,1165,SEE_ALSO
6092,2651,SEE_ALSO
6092,4632,SEE_ALSO
6092,1047,SEE_ALSO
6092,3513,SEE_ALSO
6092,2650,SEE_ALSO
6092,6091,SEE_ALSO
8413,8414,PARENT_OF
8413,4632,SEE_ALSO
4632,2651,SEE_ALSO
4632,6092,SEE_ALSO
4632,3513,SEE_ALSO
4632,2650,SEE_ALSO
4632,6097,SUCCEEDED__BY
6094,2650,SEE_ALSO
6094,6092,SEE_ALSO
6094,1047,SEE_ALSO
6094,3513,SEE_ALSO
6094,6091,SEE_ALSO
6097,3513,SEE_ALSO
6097,6091,SEE_ALSO
6097,1047,SEE_ALSO
6097,6092,TOOK_OVER_FROM
6097,2650,SEE_ALSO
6095,6096,SUCCEEDED__BY
6095,5064,TOOK_OVER_FROM
309,2652,SEE_ALSO
309,1121,TOOK_OVER_FROM
2652,1121,SEE_ALSO
2652,309,TOOK_OVER_FROM
1121,2652,SEE_ALSO
1121,309,SUCCEEDED__BY
20,1282,HAD_APPRENTICE
20,103,TOOK_OVER_FROM
20,19,PARENT_OF
1282,20,APPRENTICED_TO
103,20,SUCCEEDED__BY
19,20,CHILD_OF
600,1293,HAD_APPRENTICE
600,4504,SAME_PREMISES_AS
1293,600,APPRENTICED_TO
4504,749,WORKED_FOR
407,540,APPRENTICED_TO
540,543,SUCCEEDED__BY
540,537,HAD_APPRENTICE
540,407,HAD_APPRENTICE
540,6027,PARENT_OF
6101,407,TOOK_OVER_FROM
10478,10481,ASSOCIATED_WITH
1539,484,SEE_ALSO
1539,79,SEE_ALSO
1539,137,SEE_ALSO
484,137,SEE_ALSO
484,1539,SEE_ALSO
484,79,SEE_ALSO
137,484,SEE_ALSO
137,1539,SEE_ALSO
137,79,SEE_ALSO
79,1539,SEE_ALSO
79,484,SEE_ALSO
79,137,SEE_ALSO
8487,4636,SEE_ALSO
4636,8487,SEE_ALSO
2509,749,HAD_APPRENTICE
8951,749,WORKED_FOR
